Designator,Footprint,Quantity,Value,LCSC Part #
"5V_T1, CLK_T1, DATA_T1",TestPoint_Pad_D2.0mm,3,Conn_01x01,
C1,0603,1,10uF, C76614
"C10, C41",0603,2,0.1uF/50V(10%),C237171
C11,0603,1,10uF/25V(20%),C76614
C12,0603,1,1uF/16V(10%),C85862
C2,0603,1,10uF,C76614
"C20, C21",0402,2,22uF, C2179118
"C22, C23, C24, C25",0402,4,22uF,C2179118
C31,0805,1,22uF X5R,C128856
C32,0805,1,22uF X5R,C128856 
"D1, D2, D3, D4",0805,4,LED,C965814
D6,0805,1,LED,C965815
"EN1, EN2",TestPoint_Pad_D2.5mm,2,TestPoint,
F1,1812,1,Polyfuse,C369172
"J12, J13",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J14,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J51,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Battery,C295747
JP42,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,P3 EN,
JP43,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,p16 EN,
JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_on,
KEY1,TestPoint_Pad_D2.0mm,1,TestPoint,
L2,IND-SMD_L11.6-W10.1,1,MHCC10040-1R0M-R7,C280565
L3,L_Vishay_IHLP-2525,1,1.5uH,C845020
Q1,SOT-23,1,JSM2302,C916403
R1,0402,1,1M,C26083
"R11, R22",0603,2,10k,C95204
R12,0402,1,R560,C163460
"R13, R14",0402,2,10k,C2073569
"R15, R16",0402,2,22,C25092
"R2, R3",0402,2,5.1K,C103079
R20,0402,1,0,C17168
R21,0603,1,100K,C667752
R26,0603,1,51K,C269448
R27,0603,1,R120,C22787
R31,0603,1,91K,C23265
R32,0603,1,20K,C136589
R4,0603,1,2R,C445777
"R41, R42, R5, R6",0603,4,470R,C144600
U1,WIFIM-SMD_ESP32-C3-MINI-1,1,ESP32-C3-MINI-1-N4,C2838502
U2,QFN-32_L5.0-W5.0-P0.50-BL-EP3.4,1,IP5310,C191176
U3,SOT-23-5,1,RT8097B,C3031686
U4,HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm,1,SN74AHCT125,C36365
USBC1,USB-C-SMD_TYPE-C-USB-18,1,105450-0101,C134092
